volunteer_id,data_type,filename,frame_index,time,check_level,check_name,status,reason
002,face_rgb,002_face_rgb.mp4,72,2.400,frame,check_eyes_open,PASS,"frame=72 eyes open (blinkL=0.12, blinkR=0.13 < 0.5)"
002,face_rgb,002_face_rgb.mp4,72,2.400,frame,check_face_blur,PASS,frame=72 blur variance=254.9 >= 90
002,face_rgb,002_face_rgb.mp4,72,2.400,frame,check_brightness,PASS,frame=72 brightness normal; 35 <= 158 <= 200
002,face_rgb,002_face_rgb.mp4,78,2.600,frame,check_face_detected,PASS,frame=78 face detected
002,face_rgb,002_face_rgb.mp4,78,2.600,frame,check_head_fully,PASS,frame=78 Head is fully visible
002,face_rgb,002_face_rgb.mp4,78,2.600,frame,check_face_size,PASS,frame=78 face=555x693 >= 180x180
002,face_rgb,002_face_rgb.mp4,78,2.600,frame,check_eyes_open,PASS,"frame=78 eyes open (blinkL=0.14, blinkR=0.16 < 0.5)"
002,face_rgb,002_face_rgb.mp4,78,2.600,frame,check_face_blur,PASS,frame=78 blur variance=271.0 >= 90
002,face_rgb,002_face_rgb.mp4,78,2.600,frame,check_brightness,PASS,frame=78 brightness normal; 35 <= 158 <= 200
002,face_rgb,002_face_rgb.mp4,84,2.800,frame,check_face_detected,PASS,frame=84 face detected
002,face_rgb,002_face_rgb.mp4,84,2.800,frame,check_head_fully,PASS,frame=84 Head is fully visible
002,face_rgb,002_face_rgb.mp4,84,2.800,frame,check_face_size,PASS,frame=84 face=560x697 >= 180x180
002,face_rgb,002_face_rgb.mp4,84,2.800,frame,check_eyes_open,PASS,"frame=84 eyes open (blinkL=0.15, blinkR=0.16 < 0.5)"
002,face_rgb,002_face_rgb.mp4,84,2.800,frame,check_face_blur,PASS,frame=84 blur variance=242.3 >= 90
002,face_rgb,002_face_rgb.mp4,84,2.800,frame,check_brightness,PASS,frame=84 brightness normal; 35 <= 158 <= 200
002,face_rgb,002_face_rgb.mp4,90,3.000,frame,check_face_detected,PASS,frame=90 face detected
002,face_rgb,002_face_rgb.mp4,90,3.000,frame,check_head_fully,PASS,frame=90 Head is fully visible
002,face_rgb,002_face_rgb.mp4,90,3.000,frame,check_face_size,PASS,frame=90 face=564x702 >= 180x180
002,face_rgb,002_face_rgb.mp4,90,3.000,frame,check_eyes_open,PASS,"frame=90 eyes open (blinkL=0.15, blinkR=0.15 < 0.5)"
002,face_rgb,002_face_rgb.mp4,90,3.000,frame,check_face_blur,PASS,frame=90 blur variance=245.5 >= 90
002,face_rgb,002_face_rgb.mp4,90,3.000,frame,check_brightness,PASS,frame=90 brightness normal; 35 <= 157 <= 200
002,face_rgb,002_face_rgb.mp4,96,3.200,frame,check_face_detected,PASS,frame=96 face detected
002,face_rgb,002_face_rgb.mp4,96,3.200,frame,check_head_fully,PASS,frame=96 Head is fully visible
002,face_rgb,002_face_rgb.mp4,96,3.200,frame,check_face_size,PASS,frame=96 face=564x700 >= 180x180
002,face_rgb,002_face_rgb.mp4,96,3.200,frame,check_eyes_open,PASS,"frame=96 eyes open (blinkL=0.15, blinkR=0.16 < 0.5)"
002,face_rgb,002_face_rgb.mp4,96,3.200,frame,check_face_blur,PASS,frame=96 blur variance=212.3 >= 90
002,face_rgb,002_face_rgb.mp4,96,3.200,frame,check_brightness,PASS,frame=96 brightness normal; 35 <= 158 <= 200
002,face_rgb,002_face_rgb.mp4,102,3.400,frame,check_face_detected,PASS,frame=102 face detected
002,face_rgb,002_face_rgb.mp4,102,3.400,frame,check_head_fully,PASS,frame=102 Head is fully visible
002,face_rgb,002_face_rgb.mp4,102,3.400,frame,check_face_size,PASS,frame=102 face=568x702 >= 180x180
002,face_rgb,002_face_rgb.mp4,102,3.400,frame,check_eyes_open,PASS,"frame=102 eyes open (blinkL=0.13, blinkR=0.14 < 0.5)"
002,face_rgb,002_face_rgb.mp4,102,3.400,frame,check_face_blur,PASS,frame=102 blur variance=238.6 >= 90
002,face_rgb,002_face_rgb.mp4,102,3.400,frame,check_brightness,PASS,frame=102 brightness normal; 35 <= 157 <= 200
002,face_rgb,002_face_rgb.mp4,108,3.600,frame,check_face_detected,PASS,frame=108 face detected
002,face_rgb,002_face_rgb.mp4,108,3.600,frame,check_head_fully,PASS,frame=108 Head is fully visible
002,face_rgb,002_face_rgb.mp4,108,3.600,frame,check_face_size,PASS,frame=108 face=565x687 >= 180x180
002,face_rgb,002_face_rgb.mp4,108,3.600,frame,check_eyes_open,FAIL,"frame=108 eye(s) closed (blinkL=0.64, blinkR=0.55 >= 0.5)"
002,face_rgb,002_face_rgb.mp4,108,3.600,frame,check_face_blur,PASS,frame=108 blur variance=209.8 >= 90
002,face_rgb,002_face_rgb.mp4,108,3.600,frame,check_brightness,PASS,frame=108 brightness normal; 35 <= 158 <= 200
002,face_rgb,002_face_rgb.mp4,114,3.800,frame,check_face_detected,PASS,frame=114 face detected
002,face_rgb,002_face_rgb.mp4,114,3.800,frame,check_head_fully,PASS,frame=114 Head is fully visible
002,face_rgb,002_face_rgb.mp4,114,3.800,frame,check_face_size,PASS,frame=114 face=566x697 >= 180x180
002,face_rgb,002_face_rgb.mp4,114,3.800,frame,check_eyes_open,PASS,"frame=114 eyes open (blinkL=0.17, blinkR=0.21 < 0.5)"
002,face_rgb,002_face_rgb.mp4,114,3.800,frame,check_face_blur,PASS,frame=114 blur variance=214.2 >= 90
002,face_rgb,002_face_rgb.mp4,114,3.800,frame,check_brightness,PASS,frame=114 brightness normal; 35 <= 157 <= 200
002,face_rgb,002_face_rgb.mp4,120,4.000,frame,check_face_detected,PASS,frame=120 face detected
002,face_rgb,002_face_rgb.mp4,120,4.000,frame,check_head_fully,PASS,frame=120 Head is fully visible
002,face_rgb,002_face_rgb.mp4,120,4.000,frame,check_face_size,PASS,frame=120 face=568x697 >= 180x180
002,face_rgb,002_face_rgb.mp4,120,4.000,frame,check_eyes_open,PASS,"frame=120 eyes open (blinkL=0.15, blinkR=0.16 < 0.5)"
002,face_rgb,002_face_rgb.mp4,120,4.000,frame,check_face_blur,PASS,frame=120 blur variance=222.2 >= 90
002,face_rgb,002_face_rgb.mp4,120,4.000,frame,check_brightness,PASS,frame=120 brightness normal; 35 <= 157 <= 200
002,face_rgb,002_face_rgb.mp4,126,4.200,frame,check_face_detected,PASS,frame=126 face detected
002,face_rgb,002_face_rgb.mp4,126,4.200,frame,check_head_fully,PASS,frame=126 Head is fully visible
002,face_rgb,002_face_rgb.mp4,126,4.200,frame,check_face_size,PASS,frame=126 face=567x696 >= 180x180
002,face_rgb,002_face_rgb.mp4,126,4.200,frame,check_eyes_open,PASS,"frame=126 eyes open (blinkL=0.15, blinkR=0.16 < 0.5)"
002,face_rgb,002_face_rgb.mp4,126,4.200,frame,check_face_blur,PASS,frame=126 blur variance=227.6 >= 90
002,face_rgb,002_face_rgb.mp4,126,4.200,frame,check_brightness,PASS,frame=126 brightness normal; 35 <= 157 <= 200
002,face_rgb,002_face_rgb.mp4,132,4.400,frame,check_face_detected,PASS,frame=132 face detected
002,face_rgb,002_face_rgb.mp4,132,4.400,frame,check_head_fully,PASS,frame=132 Head is fully visible
002,face_rgb,002_face_rgb.mp4,132,4.400,frame,check_face_size,PASS,frame=132 face=567x684 >= 180x180
002,face_rgb,002_face_rgb.mp4,132,4.400,frame,check_eyes_open,PASS,"frame=132 eyes open (blinkL=0.35, blinkR=0.27 < 0.5)"
002,face_rgb,002_face_rgb.mp4,132,4.400,frame,check_face_blur,PASS,frame=132 blur variance=210.0 >= 90
002,face_rgb,002_face_rgb.mp4,132,4.400,frame,check_brightness,PASS,frame=132 brightness normal; 35 <= 157 <= 200
002,face_rgb,002_face_rgb.mp4,138,4.600,frame,check_face_detected,PASS,frame=138 face detected
002,face_rgb,002_face_rgb.mp4,138,4.600,frame,check_head_fully,PASS,frame=138 Head is fully visible
002,face_rgb,002_face_rgb.mp4,138,4.600,frame,check_face_size,PASS,frame=138 face=567x688 >= 180x180
002,face_rgb,002_face_rgb.mp4,138,4.600,frame,check_eyes_open,PASS,"frame=138 eyes open (blinkL=0.17, blinkR=0.18 < 0.5)"
002,face_rgb,002_face_rgb.mp4,138,4.600,frame,check_face_blur,PASS,frame=138 blur variance=232.1 >= 90
002,face_rgb,002_face_rgb.mp4,138,4.600,frame,check_brightness,PASS,frame=138 brightness normal; 35 <= 158 <= 200
002,face_rgb,002_face_rgb.mp4,144,4.800,frame,check_face_detected,PASS,frame=144 face detected
002,face_rgb,002_face_rgb.mp4,144,4.800,frame,check_head_fully,PASS,frame=144 Head is fully visible
002,face_rgb,002_face_rgb.mp4,144,4.800,frame,check_face_size,PASS,frame=144 face=565x699 >= 180x180
002,face_rgb,002_face_rgb.mp4,144,4.800,frame,check_eyes_open,PASS,"frame=144 eyes open (blinkL=0.14, blinkR=0.17 < 0.5)"
002,face_rgb,002_face_rgb.mp4,144,4.800,frame,check_face_blur,PASS,frame=144 blur variance=241.9 >= 90
002,face_rgb,002_face_rgb.mp4,144,4.800,frame,check_brightness,PASS,frame=144 brightness normal; 35 <= 158 <= 200
002,face_rgb,002_face_rgb.mp4,150,5.000,frame,check_face_detected,PASS,frame=150 face detected
002,face_rgb,002_face_rgb.mp4,150,5.000,frame,check_head_fully,PASS,frame=150 Head is fully visible
002,face_rgb,002_face_rgb.mp4,150,5.000,frame,check_face_size,PASS,frame=150 face=565x698 >= 180x180
002,face_rgb,002_face_rgb.mp4,150,5.000,frame,check_eyes_open,PASS,"frame=150 eyes open (blinkL=0.12, blinkR=0.13 < 0.5)"
002,face_rgb,002_face_rgb.mp4,150,5.000,frame,check_face_blur,PASS,frame=150 blur variance=224.5 >= 90
002,face_rgb,002_face_rgb.mp4,150,5.000,frame,check_brightness,PASS,frame=150 brightness normal; 35 <= 158 <= 200
002,face_rgb,002_face_rgb.mp4,156,5.200,frame,check_face_detected,PASS,frame=156 face detected
002,face_rgb,002_face_rgb.mp4,156,5.200,frame,check_head_fully,PASS,frame=156 Head is fully visible
002,face_rgb,002_face_rgb.mp4,156,5.200,frame,check_face_size,PASS,frame=156 face=560x690 >= 180x180
002,face_rgb,002_face_rgb.mp4,156,5.200,frame,check_eyes_open,PASS,"frame=156 eyes open (blinkL=0.15, blinkR=0.16 < 0.5)"
002,face_rgb,002_face_rgb.mp4,156,5.200,frame,check_face_blur,PASS,frame=156 blur variance=239.6 >= 90
002,face_rgb,002_face_rgb.mp4,156,5.200,frame,check_brightness,PASS,frame=156 brightness normal; 35 <= 158 <= 200
002,face_rgb,002_face_rgb.mp4,162,5.400,frame,check_face_detected,PASS,frame=162 face detected
002,face_rgb,002_face_rgb.mp4,162,5.400,frame,check_head_fully,PASS,frame=162 Head is fully visible
002,face_rgb,002_face_rgb.mp4,162,5.400,frame,check_face_size,PASS,frame=162 face=559x691 >= 180x180
002,face_rgb,002_face_rgb.mp4,162,5.400,frame,check_eyes_open,PASS,"frame=162 eyes open (blinkL=0.14, blinkR=0.15 < 0.5)"
002,face_rgb,002_face_rgb.mp4,162,5.400,frame,check_face_blur,PASS,frame=162 blur variance=253.1 >= 90
002,face_rgb,002_face_rgb.mp4,162,5.400,frame,check_brightness,PASS,frame=162 brightness normal; 35 <= 158 <= 200
002,face_rgb,002_face_rgb.mp4,168,5.600,frame,check_face_detected,PASS,frame=168 face detected
002,face_rgb,002_face_rgb.mp4,168,5.600,frame,check_head_fully,PASS,frame=168 Head is fully visible
002,face_rgb,002_face_rgb.mp4,168,5.600,frame,check_face_size,PASS,frame=168 face=559x693 >= 180x180
002,face_rgb,002_face_rgb.mp4,168,5.600,frame,check_eyes_open,PASS,"frame=168 eyes open (blinkL=0.15, blinkR=0.13 < 0.5)"
002,face_rgb,002_face_rgb.mp4,168,5.600,frame,check_face_blur,PASS,frame=168 blur variance=253.9 >= 90
002,face_rgb,002_face_rgb.mp4,168,5.600,frame,check_brightness,PASS,frame=168 brightness normal; 35 <= 158 <= 200
