volunteer_id,data_type,file_name,frame_index,time,label_width,label_height,yaw,pitch,roll
002,face_rgb,002_face_rgb.mp4,768,25.600,534,677,-0.3,-1.5,1.4
002,face_rgb,002_face_rgb.mp4,774,25.800,536,684,-0.1,-0.9,1.8
002,face_rgb,002_face_rgb.mp4,780,26.000,536,685,0.0,-1.2,1.7
002,face_rgb,002_face_rgb.mp4,786,26.200,537,687,-0.1,-0.4,1.8
002,face_rgb,002_face_rgb.mp4,792,26.400,535,688,0.3,-0.8,2.1
002,face_rgb,002_face_rgb.mp4,798,26.600,533,688,0.8,-1.0,1.9
002,face_rgb,002_face_rgb.mp4,804,26.800,531,680,0.2,-0.6,1.6
002,face_rgb,002_face_rgb.mp4,810,27.000,532,680,-0.1,0.1,1.6
002,face_rgb,002_face_rgb.mp4,816,27.200,532,678,0.3,-0.2,1.8
002,face_rgb,002_face_rgb.mp4,822,27.400,530,678,0.5,0.1,1.6
002,face_rgb,002_face_rgb.mp4,828,27.600,531,678,0.7,0.6,2.0
002,face_rgb,002_face_rgb.mp4,834,27.800,532,678,0.6,0.9,1.8
002,face_rgb,002_face_rgb.mp4,840,28.000,531,679,0.1,2.0,2.1
002,face_rgb,002_face_rgb.mp4,846,28.200,528,657,0.7,7.0,2.4
002,face_rgb,002_face_rgb.mp4,852,28.400,533,607,2.1,14.9,3.9
002,face_rgb,002_face_rgb.mp4,858,28.600,524,591,0.2,19.8,4.0
002,face_rgb,002_face_rgb.mp4,864,28.800,516,557,-1.7,24.5,3.7
002,face_rgb,002_face_rgb.mp4,870,29.000,508,528,-3.0,27.3,2.8
002,face_rgb,002_face_rgb.mp4,876,29.200,506,512,-3.6,28.4,3.2
002,face_rgb,002_face_rgb.mp4,882,29.400,501,488,-1.4,31.2,3.0
002,face_rgb,002_face_rgb.mp4,888,29.600,497,482,0.3,31.8,3.2
002,face_rgb,002_face_rgb.mp4,894,29.800,492,480,-0.1,30.7,2.5
002,face_rgb,002_face_rgb.mp4,900,30.000,484,475,0.7,32.2,3.7
002,face_rgb,002_face_rgb.mp4,906,30.200,492,476,0.6,30.8,3.3
002,face_rgb,002_face_rgb.mp4,912,30.400,487,484,0.3,32.2,3.6
002,face_rgb,002_face_rgb.mp4,918,30.600,499,476,-1.3,30.1,0.4
002,face_rgb,002_face_rgb.mp4,924,30.800,492,483,0.3,29.2,3.2
002,face_rgb,002_face_rgb.mp4,930,31.000,489,484,1.0,29.2,3.9
002,face_rgb,002_face_rgb.mp4,936,31.200,493,489,0.4,28.9,3.5
002,face_rgb,002_face_rgb.mp4,942,31.400,495,495,0.9,29.3,4.1
002,face_rgb,002_face_rgb.mp4,948,31.600,494,493,1.1,28.7,4.2
002,face_rgb,002_face_rgb.mp4,954,31.800,494,495,0.3,30.0,3.6
002,face_rgb,002_face_rgb.mp4,960,32.000,494,500,-0.0,28.6,3.7
002,face_rgb,002_face_rgb.mp4,966,32.200,499,508,1.1,31.6,3.9
002,face_rgb,002_face_rgb.mp4,972,32.400,500,544,1.5,25.3,3.9
002,face_rgb,002_face_rgb.mp4,978,32.600,512,582,4.2,17.6,4.3
002,face_rgb,002_face_rgb.mp4,984,32.800,524,630,3.2,9.5,3.9
002,face_rgb,002_face_rgb.mp4,990,33.000,528,661,3.8,4.8,3.3
002,face_rgb,002_face_rgb.mp4,996,33.200,533,675,3.3,-0.4,3.1
002,face_rgb,002_face_rgb.mp4,1002,33.400,540,677,2.9,-3.8,3.5
002,face_rgb,002_face_rgb.mp4,1008,33.600,543,686,2.3,-4.6,3.7
002,face_rgb,002_face_rgb.mp4,1014,33.800,545,681,1.1,-5.2,3.0
002,face_rgb,002_face_rgb.mp4,1020,34.000,545,681,1.0,-5.0,3.0
002,face_rgb,002_face_rgb.mp4,1026,34.200,546,680,0.9,-4.8,3.0
002,face_rgb,002_face_rgb.mp4,1032,34.400,544,679,0.9,-5.2,2.7
002,face_rgb,002_face_rgb.mp4,1038,34.600,544,677,1.0,-5.0,2.4
002,face_rgb,002_face_rgb.mp4,1044,34.800,545,677,0.9,-4.8,2.1
002,face_rgb,002_face_rgb.mp4,1050,35.000,545,684,1.0,-4.3,1.4
002,face_rgb,002_face_rgb.mp4,1056,35.200,544,680,1.2,-4.3,1.3
002,face_rgb,002_face_rgb.mp4,1062,35.400,543,680,1.5,-4.4,1.1
002,face_rgb,002_face_rgb.mp4,1068,35.600,542,679,1.5,-4.2,0.8
002,face_rgb,002_face_rgb.mp4,1074,35.800,543,679,1.3,-3.7,0.5
002,face_rgb,002_face_rgb.mp4,1080,36.000,543,676,1.4,-3.6,0.9
002,face_rgb,002_face_rgb.mp4,1086,36.200,543,667,1.0,-4.4,0.5
002,face_rgb,002_face_rgb.mp4,1092,36.400,543,688,1.4,-3.9,1.4
002,face_rgb,002_face_rgb.mp4,1098,36.600,544,681,1.3,-3.3,1.1
002,face_rgb,002_face_rgb.mp4,1104,36.800,543,679,1.7,-3.7,0.6
002,face_rgb,002_face_rgb.mp4,1110,37.000,541,674,0.6,-8.1,1.8
002,face_rgb,002_face_rgb.mp4,1116,37.200,564,642,0.8,-17.2,1.7
002,face_rgb,002_face_rgb.mp4,1122,37.400,576,630,-0.2,-21.4,2.3
002,face_rgb,002_face_rgb.mp4,1128,37.600,589,620,0.4,-25.0,1.5
002,face_rgb,002_face_rgb.mp4,1134,37.800,593,625,1.0,-25.3,0.9
002,face_rgb,002_face_rgb.mp4,1140,38.000,595,621,1.5,-26.9,0.3
002,face_rgb,002_face_rgb.mp4,1146,38.200,597,613,1.4,-29.4,0.4
002,face_rgb,002_face_rgb.mp4,1152,38.400,594,625,1.2,-31.7,0.6
002,face_rgb,002_face_rgb.mp4,1158,38.600,596,636,0.3,-32.2,1.1
002,face_rgb,002_face_rgb.mp4,1164,38.800,596,633,0.8,-31.7,0.5
002,face_rgb,002_face_rgb.mp4,1170,39.000,594,632,-0.2,-31.3,1.6
002,face_rgb,002_face_rgb.mp4,1176,39.200,597,626,1.3,-32.5,0.7
002,face_rgb,002_face_rgb.mp4,1182,39.400,595,618,1.3,-30.2,0.5
002,face_rgb,002_face_rgb.mp4,1188,39.600,592,637,1.1,-29.2,0.7
002,face_rgb,002_face_rgb.mp4,1194,39.800,595,637,1.1,-29.2,0.7
002,face_rgb,002_face_rgb.mp4,1200,40.000,600,633,1.3,-29.3,0.4
002,face_rgb,002_face_rgb.mp4,1206,40.200,594,636,0.5,-29.0,0.9
002,face_rgb,002_face_rgb.mp4,1212,40.400,595,628,0.7,-29.3,0.8
002,face_rgb,002_face_rgb.mp4,1218,40.600,596,629,0.8,-29.5,0.6
002,face_rgb,002_face_rgb.mp4,1224,40.800,594,629,0.7,-29.3,0.3
002,face_rgb,002_face_rgb.mp4,1230,41.000,595,632,0.8,-29.4,0.5
002,face_rgb,002_face_rgb.mp4,1236,41.200,596,637,1.8,-24.7,0.3
002,face_rgb,002_face_rgb.mp4,1242,41.400,581,698,1.1,-13.1,2.6
002,face_rgb,002_face_rgb.mp4,1248,41.600,564,711,2.0,-4.6,2.0
002,face_rgb,002_face_rgb.mp4,1254,41.800,549,701,3.5,1.6,1.7
002,face_rgb,002_face_rgb.mp4,1260,42.000,540,688,2.9,5.4,1.3
002,face_rgb,002_face_rgb.mp4,1266,42.200,540,679,2.5,5.5,1.8
002,face_rgb,002_face_rgb.mp4,1272,42.400,532,668,2.4,4.6,1.6
002,face_rgb,002_face_rgb.mp4,1278,42.600,535,676,2.9,4.8,1.5
002,face_rgb,002_face_rgb.mp4,1284,42.800,536,678,2.8,5.2,1.5
002,face_rgb,002_face_rgb.mp4,1290,43.000,530,667,2.7,4.1,1.4
002,face_rgb,002_face_rgb.mp4,1296,43.200,536,677,2.8,3.9,1.6
002,face_rgb,002_face_rgb.mp4,1302,43.400,533,685,2.7,3.1,1.2
002,face_rgb,002_face_rgb.mp4,1308,43.600,542,681,3.3,-1.3,1.5
002,face_rgb,002_face_rgb.mp4,1314,43.800,546,692,3.8,-1.4,1.7
002,face_rgb,002_face_rgb.mp4,1320,44.000,545,691,3.8,-1.5,2.0
002,face_rgb,002_face_rgb.mp4,1326,44.200,545,689,2.4,-2.7,2.2
002,face_rgb,002_face_rgb.mp4,1332,44.400,544,687,2.2,-2.4,2.1
002,face_rgb,002_face_rgb.mp4,1338,44.600,545,689,2.6,-2.1,1.9
002,face_rgb,002_face_rgb.mp4,1344,44.800,547,691,2.3,-2.3,1.8
