volunteer_id,data_type,filename,check_name,status,reason,frame_index
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=2472 No faces detected,2472,2472
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=2484 No faces detected,2484,2484
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=2496 No faces detected,2496,2496
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=2508 No faces detected,2508,2508
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=2520 No faces detected,2520,2520
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=2532 No faces detected,2532,2532
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=2544 No faces detected,2544,2544
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=2556 No faces detected,2556,2556
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=2568 No faces detected,2568,2568
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=2573 No faces detected,2573,2573
105,face_rgb,105_face_rgb.mp4,frames_sampled,PASS,sampled 216 frames,,
105,face_rgb,105_face_rgb.mp4,check_turn_sequence,FAIL,no front-facing frame anywhere; cannot validate turns,,
